Team,Year,GP,OFFRTG,W,Min,PACE,Passes Made,passes_made_100,Ast,Ast p100,Secondary Ast,secondary_ast_100,Potential Ast,potential_ast_100,Ast Adj,Ast Adj p100,Ast to Pass %,Ast to Pass % Adj,Pts,Touches,touches_100,ToP,Avg Sec/Touch,avg_dribbles_touch_100,Dribbles,dribbles_100,Pts/Touch,Post Ups,post_ups_100,Pts/Post Touch,Drives,drives_100,FGA Drives,FTA Drives,PTS Drives,PASS Drives,PASS Drives p100,drives_pass_rate,AST,AST%,DIST. FEET,DIST. MILES,dist_miles_off,DIST. MILES OFF p100,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,play_style_clusters
Atlanta Hawks,2017-18,69,103.2,20,240.4,100.39,332,330.7,23.8,23.7,2.6,2.6,46,45.8,27.1,27,7.2,8.2,103.9,452.6,450.8,20.8,2.76,1.91,864.466,861.1,0.23,2.1,2.1,0.49,47.1,46.9,20.4,6.3,23.1,14.1,14,29.8,4.5,9.5,92569.6,17.53,9.48,9.4,8.05,4.4,4.75,4.06,Moderate
Boston Celtics,2017-18,68,105.7,46,241.9,98.33,302.1,307.2,22.6,23,3.1,3.2,42.9,43.6,26.5,27,7.5,8.8,104.6,420.1,427.2,21.1,3.02,2.21,928.421,944.2,0.249,12.5,12.7,0.497,38.2,38.8,17.6,5.4,21.2,11.1,11.3,29,3.4,9,90122.3,17.07,9.09,9.2,7.97,4.25,4.51,3.98,Isolation
Brooklyn Nets,2017-18,68,103.5,21,242.3,101.02,326.6,323.3,23.2,23,2.6,2.6,47.4,46.9,26.8,26.5,7.1,8.2,106.2,448.4,443.9,21.3,2.85,2.01,901.284,892.2,0.237,7.2,7.1,0.513,49.6,49.1,20,6.6,23.9,16.6,16.4,33.5,5.1,10.4,91833.9,17.39,9.56,9.5,7.83,4.33,4.67,3.97,Moderate
Charlotte Hornets,2017-18,69,106.2,30,241.1,100.46,284.8,283.5,21.5,21.4,3.1,3.1,42.2,42,25.8,25.7,7.6,9.1,107.3,405.3,403.4,20.9,3.09,2.35,952.455,948.1,0.265,13.3,13.2,0.56,37.1,36.9,18.4,6.1,22.3,10,10,26.8,3.1,8.5,92179.8,17.46,9.51,9.5,7.95,4.36,4.68,4.03,Isolation
Chicago Bulls,2017-18,68,101.9,24,242.6,100.19,299.6,299,23.5,23.5,2.6,2.6,46,45.9,27,26.9,7.8,9,103.6,419.6,418.8,19.9,2.85,2.13,893.748,892.1,0.247,11.3,11.3,0.514,41.5,41.4,17.8,4.9,19.1,13.6,13.6,32.7,4.1,9.9,94842.4,17.96,9.56,9.5,8.4,4.47,4.89,4.06,Moderate
Cleveland Cavaliers,2017-18,68,109.9,39,240.7,100.15,275.6,275.2,23.5,23.5,3.1,3.1,44.6,44.5,27.6,27.6,8.5,10,110.2,394.9,394.3,20.4,3.09,2.2,868.78,867.5,0.279,11.8,11.8,0.492,33.4,33.3,15,5.6,20.2,9.3,9.3,27.8,2.9,8.8,89104.2,16.88,8.83,8.8,8.05,4.22,4.46,3.99,Moderate
Dallas Mavericks,2017-18,68,104.4,22,241.1,97.51,304.7,312.5,22.6,23.2,3.2,3.3,43.1,44.2,26.6,27.3,7.4,8.7,102.4,421.4,432.2,21.9,3.12,2.43,1024.002,1050.2,0.243,11.3,11.6,0.487,41.9,43,18.1,4.6,19.9,12.7,13,30.4,4.6,11.1,90653.8,17.17,9.47,9.7,7.7,4.29,4.58,3.98,Isolation
Denver Nuggets,2017-18,69,109.1,38,241.1,99.36,299.8,301.7,24.8,25,3,3,43.5,43.8,28.3,28.5,8.3,9.4,108.9,419.4,422.1,20.6,2.95,2.12,889.128,894.9,0.26,13.4,13.5,0.474,42.2,42.5,19.5,5.5,23.2,12.7,12.8,30.1,3.5,8.2,88707,16.8,9.1,9.2,7.7,4.26,4.6,3.92,Moderate
Detroit Pistons,2017-18,68,104,30,241.1,98.44,304.3,309.1,22.6,23,2.8,2.8,44.4,45.1,26,26.4,7.4,8.5,102.9,424.4,431.1,20.8,2.94,2.19,929.436,944.2,0.242,7.9,8,0.54,44.7,45.4,19.8,5.6,21.5,14.3,14.5,32.1,4,8.8,93599.6,17.73,9.58,9.7,8.14,4.43,4.78,4.09,Moderate
Golden State Warriors,2017-18,68,113.7,52,240.7,102.47,319.8,312.1,30.1,29.4,4.8,4.7,51.6,50.4,36.2,35.3,9.4,11.3,115.7,440.9,430.3,19.3,2.63,1.79,789.211,770.2,0.262,16.9,16.5,0.356,23.5,22.9,10,3.9,13.5,7,6.8,29.6,2.3,9.7,90049.3,17.05,8.91,8.7,8.14,4.29,4.72,3.89,Ball Movement
Houston Rockets,2017-18,68,113.2,54,240.7,100.06,255.3,255.1,21.7,21.7,2.1,2.1,43.5,43.5,25.1,25.1,8.5,9.8,113.5,374.9,374.7,20.7,3.31,2.54,952.246,951.7,0.303,4.7,4.7,0.498,42,42,17.1,7.1,23.7,12.6,12.6,30,4.7,11.3,85115,16.12,8.5,8.5,7.62,4.03,4.27,3.8,Isolation
Indiana Pacers,2017-18,69,107.2,40,240.7,98.52,297,301.5,22,22.3,2.4,2.4,42.6,43.2,25.2,25.6,7.4,8.5,105.8,415.8,422,20.7,2.98,2.31,960.498,974.9,0.255,10.1,10.3,0.582,38,38.6,16.6,4.7,20.7,12.2,12.4,32,3.6,9.5,92017.5,17.43,9.12,9.3,8.31,4.37,4.62,4.12,Isolation
LA Clippers,2017-18,67,107.8,37,240.4,101.2,297.3,293.8,22.3,22,3,3,40,39.5,26.7,26.4,7.5,9,109.2,421.9,416.9,20.6,2.92,2.14,902.866,892.2,0.259,9.6,9.5,0.498,42.2,41.7,19.4,6.5,23.6,11.7,11.6,27.8,4,9.5,90402,17.12,8.98,8.9,8.15,4.24,4.53,3.96,Isolation
Los Angeles Lakers,2017-18,68,104.2,31,242.6,103.24,282.4,273.5,24,23.2,2.7,2.6,46,44.6,27.3,26.4,8.5,9.7,108.7,406.1,393.4,19.9,2.94,2.06,836.566,810.3,0.268,12.5,12.1,0.456,41.2,39.9,18.1,5.6,21,11.8,11.4,28.6,4.1,10,92109,17.44,9.17,8.9,8.27,4.4,4.8,4.02,Moderate
Memphis Grizzlies,2017-18,68,101.6,18,240.4,96.9,322.9,333.2,21.4,22.1,3.4,3.5,42.8,44.2,25.8,26.6,6.6,8,98.7,440.9,455,21.5,2.93,2.06,908.254,937.3,0.224,13.4,13.8,0.438,40.9,42.2,17.7,6.2,21.6,12.3,12.7,30.1,3.6,8.8,88795.4,16.82,9.13,9.4,7.69,4.23,4.49,3.96,Moderate
Miami Heat,2017-18,69,104.4,36,241.8,97.52,303.1,310.8,22.5,23.1,2.8,2.9,46.9,48.1,25.9,26.6,7.4,8.6,102.6,423.6,434.4,21.9,3.1,2.31,978.516,1003.4,0.242,9.9,10.2,0.398,47.4,48.6,19.3,4.9,22.6,16.2,16.6,34.1,4.6,9.7,92190.1,17.46,9.49,9.7,7.97,4.35,4.6,4.08,Moderate
Milwaukee Bucks,2017-18,68,107.3,36,241.5,98.01,283.5,289.3,22.4,22.9,2.8,2.9,42.1,43,26.4,26.9,7.9,9.3,105.2,399.2,407.3,20.1,3.01,2.25,898.2,916.4,0.264,7.4,7.6,0.501,44.5,45.4,16.8,5.9,21.9,16.4,16.7,36.9,4.2,9.5,89182.5,16.89,8.67,8.8,8.22,4.23,4.5,3.98,Isolation
Minnesota Timberwolves,2017-18,69,111.3,40,241.5,98.12,287.4,292.9,22.7,23.1,2.4,2.4,41.3,42.1,26.5,27,7.9,9.2,109.7,406.6,414.4,21.8,3.22,2.39,971.774,990.4,0.27,15.1,15.4,0.636,39.9,40.7,18.5,6.2,23.6,11.2,11.4,28.1,3.9,9.7,87913.4,16.65,8.9,9.1,7.75,4.15,4.29,4,Isolation
New Orleans Pelicans,2017-18,68,107.5,39,244,102.67,312.9,304.8,26.5,25.8,3,2.9,47.9,46.7,30.4,29.6,8.5,9.7,111.9,440.3,428.8,20.2,2.75,1.96,862.988,840.5,0.254,13.2,12.9,0.525,43.2,42.1,18.6,4.5,22.8,13.5,13.1,31.3,4.6,10.6,91277.3,17.29,9.08,8.8,8.21,4.24,4.6,3.89,Moderate
New York Knicks,2017-18,69,103.9,24,241.8,99.06,319,322,22.9,23.1,2.9,2.9,44.5,44.9,26.4,26.7,7.2,8.3,103.9,440.8,445,21.2,2.88,2,881.6,890,0.236,17.3,17.5,0.564,32.7,33,15.7,4.1,17,9.1,9.2,27.7,2.8,8.6,92226.5,17.47,9.37,9.5,8.1,4.37,4.64,4.09,Moderate
Oklahoma City Thunder,2017-18,70,107.1,41,241.8,98.9,254.8,257.6,21.3,21.5,2.4,2.4,42.5,43,24.8,25.1,8.4,9.7,107.2,377.5,381.7,20.3,3.23,2.49,939.975,950.4,0.284,8.6,8.7,0.608,39.1,39.5,15,6,19.4,12.5,12.6,32.1,4.3,11.1,88543.8,16.77,8.65,8.7,8.12,4.17,4.45,3.92,Isolation
Orlando Magic,2017-18,69,104.2,21,240.7,100.43,290.3,289.1,23.5,23.4,2.2,2.2,45.2,45,26.5,26.4,8.1,9.1,105,409.3,407.5,20.7,3.03,2.34,957.762,953.7,0.256,9.6,9.6,0.426,47.9,47.7,19.7,6.1,23.3,16,15.9,33.5,4.7,9.7,91182.9,17.27,9.23,9.2,8.04,4.34,4.68,4.01,Isolation
Philadelphia 76ers,2017-18,67,106.2,37,241.5,101.39,347,342.2,26,25.6,3.5,3.5,50.7,50,30.7,30.3,7.5,8.9,108,471.2,464.7,20.4,2.6,1.71,805.752,794.7,0.229,18.9,18.6,0.529,40.2,39.6,16.3,3.7,17.4,14.5,14.3,36,3.8,9.4,93652.9,17.74,9.54,9.4,8.2,4.42,4.84,4.02,Ball Movement
Phoenix Suns,2017-18,70,101.1,19,240.4,102.79,292,284.1,21,20.4,2.3,2.2,44.1,42.9,24.9,24.2,7.2,8.5,104.3,416.1,404.8,20.6,2.97,2.25,936.225,910.8,0.251,9.5,9.2,0.409,41.2,40.1,20.2,5.7,22,10.7,10.4,26.1,3.4,8.3,92111.5,17.45,9.37,9.1,8.08,4.37,4.74,4.01,Isolation
Portland Trail Blazers,2017-18,68,106.1,42,241.1,98.96,271.3,274.2,19.3,19.5,2,2,39.6,40,22.1,22.3,7.1,8.1,105.9,390.6,394.7,22.2,3.41,2.62,1023.372,1034.1,0.271,9.3,9.4,0.483,36.1,36.5,17.9,5.4,20.1,9.3,9.4,25.9,2.7,7.6,90642.8,17.17,9.47,9.6,7.7,4.31,4.59,4,Isolation
Sacramento Kings,2017-18,69,101.7,22,241.1,97.29,316.9,325.7,21.4,22,2.8,2.9,42.2,43.4,24.7,25.4,6.7,7.8,99.6,435.4,447.5,21.3,2.93,2.06,896.924,921.9,0.229,16.5,17,0.492,35.7,36.7,16.4,4.2,17.8,10.6,10.9,29.6,3.3,9.3,91597.6,17.35,9.37,9.6,7.98,4.35,4.62,4.07,Isolation
San Antonio Spurs,2017-18,69,105,39,240,97.31,312.6,321.2,22.9,23.5,4,4.1,43.1,44.3,27.8,28.6,7.3,8.9,102.2,430.4,442.3,21.2,2.96,2.25,968.4,995.2,0.237,19,19.5,0.558,43.6,44.8,17.5,4.3,20,16,16.4,36.8,4.1,9.3,93362.2,17.68,9.72,10,7.96,4.44,4.76,4.1,Moderate
Toronto Raptors,2017-18,68,111.3,51,241.5,100.12,299.1,298.7,23.9,23.9,3.2,3.2,46.2,46.1,27.8,27.8,8,9.3,112.2,420.7,420.2,21,3,2.25,946.575,945.4,0.267,5.5,5.5,0.651,52.5,52.4,20.2,6.2,25.3,19.1,19.1,36.5,5.4,10.3,93412.5,17.69,9.53,9.5,8.16,4.41,4.77,4.06,Moderate
Utah Jazz,2017-18,69,105.5,39,240.7,97.56,321.9,330,21.8,22.3,2.8,2.9,43,44.1,25.7,26.3,6.8,8,103.1,440.7,451.7,21.6,2.94,2.22,978.354,1002.8,0.234,4,4.1,0.323,52.8,54.1,20.1,5.6,22.8,18.7,19.2,35.4,5.8,11,91168,17.27,9.5,9.7,7.77,4.34,4.63,4.03,Isolation
Washington Wizards,2017-18,69,107.4,39,242.5,99.05,291.7,294.5,24.8,25,3.3,3.3,47.2,47.7,28.7,29,8.5,9.8,107.5,411.8,415.7,21.3,3.1,2.33,959.494,968.7,0.261,8,8.1,0.59,36.6,37,16.1,5.3,19.6,10.6,10.7,29,3.5,9.6,90148.6,17.07,9.05,9.1,8.03,4.26,4.48,4.03,Moderate
Atlanta Hawks,2016-17,82,102.3,43,242.4,99.83,310,310.5,23.6,23.6,3.2,3.2,46.8,46.9,28.9,28.9,7.6,9.3,103.2,431.2,431.9,20.4,2.85,2.06,888.272,889.8,0.239,10.8,10.8,0.527,40.6,40.7,17.5,5.5,20,13,13,32,3.4,8.3,90044.3,17.05,9.03,9,8.03,4.24,4.58,3.91,Moderate
Boston Celtics,2016-17,82,108.6,53,240.9,99.32,324.6,326.8,25.2,25.4,3.6,3.6,49.2,49.5,30.7,30.9,7.8,9.5,108,442.4,445.4,20.5,2.78,2.07,915.768,922,0.244,12,12.1,0.485,37.4,37.7,15.6,5.8,20.3,11.9,12,31.9,3.7,9.8,88655.9,16.79,8.91,9,7.88,4.19,4.48,3.91,Ball Movement
Brooklyn Nets,2016-17,82,101.9,20,240.9,103.58,311,300.3,21.4,20.7,2.5,2.4,45.4,43.8,25.9,25,6.9,8.3,105.8,433.3,418.3,19.9,2.76,2.07,896.931,865.9,0.244,15.5,15,0.478,46.3,44.7,18.5,7.6,23.5,15.5,15,33.6,3.6,7.8,92020,17.43,9.28,9,8.15,4.35,4.74,3.98,Isolation
Charlotte Hornets,2016-17,82,106.4,36,241.8,97.85,291.2,297.6,23.1,23.6,3.4,3.5,47.8,48.9,29.1,29.7,7.9,10,104.9,408.1,417.1,20.7,3.04,2.4,979.44,1001,0.257,8.5,8.7,0.563,36.7,37.5,17.7,5.2,20.5,10.9,11.1,29.7,3.1,8.4,92157.4,17.45,9.59,9.8,7.86,4.34,4.7,3.97,Moderate
Chicago Bulls,2016-17,82,104.6,41,241.2,97.72,304.5,311.6,22.6,23.1,2.5,2.6,45.2,46.3,27.1,27.7,7.4,8.9,102.9,424,433.9,20.9,2.95,2.13,903.12,924.2,0.243,14.7,15,0.527,41.2,42.2,16.3,5.7,19.9,14.3,14.6,34.7,4.5,11,89810.2,17.01,9.18,9.4,7.83,4.24,4.51,3.96,Moderate
Cleveland Cavaliers,2016-17,82,110.9,51,242.4,98.38,275.3,279.8,22.7,23.1,3.4,3.5,45.1,45.8,28.3,28.8,8.2,10.3,110.3,394.3,400.8,20.9,3.19,2.35,926.605,941.9,0.28,10.3,10.5,0.521,34.1,34.7,15.3,5.7,19.6,9.9,10.1,28.9,2.9,8.6,86900.9,16.46,8.68,8.8,7.78,4.08,4.27,3.89,Moderate
Dallas Mavericks,2016-17,82,103.7,33,241.2,94.16,296.8,315.2,20.7,22,2.5,2.7,44.4,47.2,24.9,26.4,7,8.4,97.7,410.8,436.3,22.2,3.24,2.46,1010.568,1073.2,0.238,11.9,12.6,0.513,37.9,40.3,15.3,4.9,19,13.2,14,34.8,3.3,8.8,88523.1,16.77,9.21,9.8,7.55,4.18,4.4,3.94,Moderate
Denver Nuggets,2016-17,82,110,40,240.9,100.7,296.3,294.2,25.2,25,2.9,2.9,47.5,47.2,30.2,30,8.5,10.2,111.4,419.4,416.5,20.8,2.97,2.18,914.292,907.9,0.266,12.4,12.3,0.587,41,40.7,16.9,5.7,20.3,13.6,13.5,33.3,4.2,10.2,88637.8,16.79,9.14,9.1,7.65,4.19,4.57,3.81,Moderate
Detroit Pistons,2016-17,82,103.3,37,241.5,97.09,278.5,286.8,21.1,21.7,2.1,2.2,43,44.3,25.4,26.2,7.6,9.1,101.3,397.9,409.8,20.6,3.11,2.4,954.96,983.6,0.255,12.2,12.6,0.595,36.6,37.7,17.2,4.1,19.5,11,11.3,30.1,3.5,9.5,90922.7,17.22,9.25,9.5,7.97,4.29,4.62,3.95,Isolation
Golden State Warriors,2016-17,82,113.2,67,241.2,102.24,317.7,310.7,30.4,29.7,4.6,4.5,56.3,55.1,37.5,36.7,9.6,11.8,115.9,440.1,430.5,19.3,2.64,1.85,814.185,796.3,0.263,14.9,14.6,0.322,26.9,26.3,11.1,4,14.3,8.7,8.5,32.4,2.8,10.4,89925,17.03,8.91,8.7,8.12,4.24,4.7,3.83,Ball Movement
Houston Rockets,2016-17,82,111.8,55,241.2,102.54,267.4,260.8,25.2,24.6,2.5,2.4,50.7,49.4,29.8,29.1,9.4,11.2,115.3,388.9,379.3,19.6,3.03,2.19,851.691,830.6,0.297,3.7,3.6,0.545,43.2,42.1,16.3,6.1,20.3,14.7,14.3,34,5.3,12.2,87283.7,16.53,8.54,8.3,7.99,4.12,4.44,3.83,Moderate
Indiana Pacers,2016-17,82,106.2,42,242.2,98.15,286.4,291.8,22.4,22.8,2.9,3,47.4,48.3,27.3,27.8,7.8,9.5,105,405.8,413.4,21,3.11,2.37,961.746,979.9,0.259,13.3,13.6,0.535,36.7,37.4,14.6,5.3,18.1,12,12.2,32.7,4.1,11.1,88170.8,16.7,8.85,9,7.85,4.15,4.4,3.89,Moderate
LA Clippers,2016-17,82,110.3,51,240.9,98.22,301.7,307.2,22.5,22.9,2.9,3,43.2,44,27.8,28.3,7.5,9.2,108.7,419.9,427.5,21.2,3.04,2.32,974.168,991.8,0.259,11.7,11.9,0.527,32.1,32.7,14.6,4.6,18.1,9.3,9.5,28.9,3.1,9.6,86282.4,16.34,8.7,8.9,7.64,4.08,4.28,3.87,Moderate
Los Angeles Lakers,2016-17,82,103.4,26,240.3,100.8,288.4,286.1,20.9,20.7,2.2,2.2,42.7,42.4,25.1,24.9,7.3,8.7,104.6,409.3,406.1,20.6,3.01,2.09,855.437,848.6,0.255,10.4,10.3,0.459,36.8,36.5,18.3,5.5,20.8,9.5,9.4,25.9,2.8,7.6,90744.4,17.19,9.26,9.2,7.92,4.3,4.66,3.95,Isolation
Memphis Grizzlies,2016-17,82,104.7,43,242.7,94.74,303.3,320.1,21.3,22.5,3.1,3.3,46.4,49,26.5,28,7,8.7,100.5,422.1,445.5,22,3.13,2.31,975.051,1029.2,0.238,21,22.2,0.531,31.6,33.4,13.3,5.2,16.2,10.2,10.8,32.4,2.8,8.8,87364.1,16.55,9,9.5,7.55,4.1,4.29,3.89,Moderate
Miami Heat,2016-17,82,105.2,41,241.2,97.59,283.4,290.4,21.2,21.7,2.8,2.9,45.9,47,25.9,26.5,7.5,9.1,103.2,401.9,411.8,21.5,3.21,2.61,1048.959,1074.9,0.257,9.9,10.1,0.45,49.4,50.6,18.9,5.1,21,18.4,18.9,37.3,5.1,10.3,90488.6,17.14,9.4,9.6,7.74,4.27,4.56,3.97,Moderate
Milwaukee Bucks,2016-17,82,106.9,42,241.2,96.73,289,298.8,24.2,25,3.1,3.2,47.5,49.1,29.7,30.7,8.4,10.3,103.6,403.9,417.6,20.3,3.02,2.25,908.775,939.5,0.257,13.5,14,0.492,41.8,43.2,17,5.1,20,14,14.5,33.6,4.8,11.6,88579.5,16.78,8.74,9,8.04,4.19,4.45,3.94,Ball Movement
Minnesota Timberwolves,2016-17,82,108.1,31,241.5,97.11,285.4,293.9,23.7,24.4,2.7,2.8,45.4,46.8,28.7,29.6,8.3,10,105.6,405.4,417.5,21.5,3.19,2.29,928.366,956,0.26,19,19.6,0.599,34.7,35.7,14.2,6,18,11.1,11.4,32,3,8.8,89395.7,16.93,9.06,9.3,7.87,4.21,4.42,4,Moderate
